Source;Target;Type;Weight
405;582;Direct;1
405;499;Direct;1
405;1105;Direct;1
405;1300;Direct;1
405;1025;Direct;1
405;1023;Direct;1
405;1229;Direct;1
405;484;Direct;1
405;786;Direct;1
405;517;Direct;1
405;520;Direct;1
405;192;Direct;1
405;221;Direct;1
405;378;Direct;1
26;417;Direct;1
26;660;Direct;1
26;1118;Direct;1
26;793;Direct;1
26;203;Direct;1
26;609;Direct;1
26;911;Direct;1
26;1219;Direct;1
26;1131;Direct;1
26;1032;Direct;1
26;206;Direct;1
26;1038;Direct;1
26;221;Direct;1
26;1109;Direct;1
26;1254;Direct;1
26;945;Direct;1
26;446;Direct;1
26;104;Direct;1
26;1166;Direct;1
26;795;Direct;1
26;220;Direct;1
26;310;Direct;1
26;843;Direct;1
26;210;Direct;1
26;685;Direct;1
26;324;Direct;1
26;600;Direct;1
26;337;Direct;1
26;792;Direct;1
26;9;Direct;1
26;1027;Direct;1
26;151;Direct;1
26;907;Direct;1
26;683;Direct;1
26;725;Direct;1
26;1120;Direct;1
26;1125;Direct;1
26;1298;Direct;1
26;1023;Direct;1
26;854;Direct;1
422;427;Direct;1
422;421;Direct;1
422;660;Direct;1
422;945;Direct;1
422;310;Direct;1
422;1118;Direct;1
422;1221;Direct;1
422;1219;Direct;1
422;793;Direct;1
422;287;Direct;1
422;1021;Direct;1
422;446;Direct;1
422;221;Direct;1
422;1038;Direct;1
422;1263;Direct;1
422;1015;Direct;1
422;960;Direct;1
423;1118;Direct;1
423;1263;Direct;1
423;310;Direct;1
423;793;Direct;1
423;892;Direct;1
423;1229;Direct;1
423;1023;Direct;1
423;513;Direct;1
423;502;Direct;1
423;446;Direct;1
423;1254;Direct;1
423;421;Direct;1
423;1148;Direct;1
423;1221;Direct;1
423;1219;Direct;1
423;135;Direct;1
423;221;Direct;1
423;265;Direct;1
424;428;Direct;1
424;1283;Direct;1
424;421;Direct;1
424;911;Direct;1
424;1263;Direct;1
424;1254;Direct;1
424;793;Direct;1
424;425;Direct;1
424;1118;Direct;1
424;1226;Direct;1
424;1;Direct;1
424;129;Direct;1
424;426;Direct;1
424;1227;Direct;1
424;609;Direct;1
424;582;Direct;1
424;606;Direct;1
424;221;Direct;1
424;429;Direct;1
424;1219;Direct;1
424;1131;Direct;1
424;678;Direct;1
424;502;Direct;1
424;660;Direct;1
424;446;Direct;1
424;601;Direct;1
424;1023;Direct;1
424;310;Direct;1
424;843;Direct;1
131;793;Direct;1
131;1118;Direct;1
131;844;Direct;1
131;1109;Direct;1
131;911;Direct;1
131;130;Direct;1
131;1105;Direct;1
131;221;Direct;1
131;1270;Direct;1
131;1023;Direct;1
490;1118;Direct;1
490;1219;Direct;1
490;337;Direct;1
490;452;Direct;1
490;1258;Direct;1
490;1163;Direct;1
490;1160;Direct;1
490;793;Direct;1
490;838;Direct;1
490;1145;Direct;1
490;789;Direct;1
490;1023;Direct;1
490;484;Direct;1
490;726;Direct;1
490;61;Direct;1
516;793;Direct;1
516;1118;Direct;1
516;763;Direct;1
516;1038;Direct;1
516;803;Direct;1
516;945;Direct;1
516;600;Direct;1
516;176;Direct;1
516;1032;Direct;1
516;24;Direct;1
516;301;Direct;1
516;1023;Direct;1
516;476;Direct;1
516;495;Direct;1
516;828;Direct;1
516;213;Direct;1
516;275;Direct;1
516;475;Direct;1
516;683;Direct;1
516;1085;Direct;1
519;518;Direct;1
519;1038;Direct;1
519;945;Direct;1
519;1118;Direct;1
519;911;Direct;1
519;213;Direct;1
519;1289;Direct;1
519;221;Direct;1
519;793;Direct;1
519;609;Direct;1
519;462;Direct;1
519;1226;Direct;1
519;1254;Direct;1
519;792;Direct;1
519;600;Direct;1
519;669;Direct;1
519;1205;Direct;1
519;582;Direct;1
519;847;Direct;1
519;313;Direct;1
519;703;Direct;1
519;843;Direct;1
519;155;Direct;1
519;484;Direct;1
519;116;Direct;1
519;1023;Direct;1
519;864;Direct;1
519;1183;Direct;1
519;789;Direct;1
519;1073;Direct;1
519;688;Direct;1
519;62;Direct;1
519;329;Direct;1
519;1258;Direct;1
519;1261;Direct;1
519;1100;Direct;1
543;1118;Direct;1
543;1219;Direct;1
543;793;Direct;1
543;945;Direct;1
543;155;Direct;1
543;49;Direct;1
543;580;Direct;1
543;1226;Direct;1
543;1227;Direct;1
543;1289;Direct;1
543;499;Direct;1
543;213;Direct;1
543;582;Direct;1
543;1023;Direct;1
543;1218;Direct;1
551;793;Direct;1
551;550;Direct;1
551;1166;Direct;1
551;1219;Direct;1
551;1023;Direct;1
551;1021;Direct;1
551;1105;Direct;1
559;1118;Direct;1
559;555;Direct;1
559;1162;Direct;1
559;1038;Direct;1
559;62;Direct;1
559;911;Direct;1
559;793;Direct;1
559;1081;Direct;1
559;854;Direct;1
559;1229;Direct;1
559;945;Direct;1
559;660;Direct;1
559;1109;Direct;1
559;310;Direct;1
559;1163;Direct;1
559;1221;Direct;1
559;1219;Direct;1
559;476;Direct;1
559;961;Direct;1
559;316;Direct;1
559;609;Direct;1
559;1035;Direct;1
559;396;Direct;1
559;1023;Direct;1
559;1246;Direct;1
559;1254;Direct;1
559;1100;Direct;1
559;939;Direct;1
559;254;Direct;1
559;1230;Direct;1
559;1032;Direct;1
559;1131;Direct;1
559;1298;Direct;1
559;789;Direct;1
559;877;Direct;1
559;265;Direct;1
559;1149;Direct;1
559;104;Direct;1
559;640;Direct;1
559;503;Direct;1
559;592;Direct;1
559;1054;Direct;1
559;786;Direct;1
559;156;Direct;1
559;375;Direct;1
559;1021;Direct;1
559;54;Direct;1
564;1201;Direct;1
564;793;Direct;1
564;1023;Direct;1
564;1118;Direct;1
564;310;Direct;1
564;203;Direct;1
564;25;Direct;1
564;337;Direct;1
564;786;Direct;1
566;1023;Direct;1
566;1118;Direct;1
566;945;Direct;1
566;1218;Direct;1
566;911;Direct;1
588;1188;Direct;1
588;28;Direct;1
588;1118;Direct;1
588;793;Direct;1
588;753;Direct;1
588;586;Direct;1
588;310;Direct;1
588;1219;Direct;1
588;221;Direct;1
588;135;Direct;1
588;956;Direct;1
588;1109;Direct;1
588;331;Direct;1
588;105;Direct;1
588;587;Direct;1
588;703;Direct;1
588;571;Direct;1
588;945;Direct;1
588;265;Direct;1
588;600;Direct;1
590;793;Direct;1
590;1118;Direct;1
590;1023;Direct;1
590;62;Direct;1
590;945;Direct;1
590;322;Direct;1
590;613;Direct;1
590;1109;Direct;1
590;213;Direct;1
590;1032;Direct;1
590;1131;Direct;1
590;897;Direct;1
590;275;Direct;1
